East Texas Permeability Data
5
well
sstvd
hphi
hk
Log10 hk
  6 -4166.8 24.50    72.00  1.8573
  6 -4166.8 24.50    72.00  1.8573
  6 -4167.8 21.10      .01 -1.9996
  6 -4167.8 21.10      .01 -1.9996
  6 -4168.8 29.10   420.00  2.6232
  6 -4168.8 29.10   420.00  2.6232
  6 -4170.8 28.30   280.00  2.4472
  6 -4170.8 28.30   280.00  2.4472
  6 -4171.8  7.50      .02 -1.6988
  6 -4171.8  7.50      .02 -1.6988
  6 -4172.8  7.30      .02 -1.6988
  6 -4172.8  7.30      .02 -1.6988
  6 -4173.8 19.00    36.00  1.5563
  6 -4173.8 19.00    36.00  1.5563
  6 -4174.8 25.00   194.00  2.2878
  6 -4174.8 25.00   194.00  2.2878
  6 -4175.8 28.60   468.00  2.6702
  6 -4175.8 28.60   468.00  2.6702
  6 -4177.8 25.10   155.00  2.1903
  6 -4177.8 25.10   155.00  2.1903
  6 -4179.8 21.90    82.00  1.9138
  6 -4179.8 21.90    82.00  1.9138
  6 -4180.8 25.10   220.00  2.3424
  6 -4180.8 25.10   220.00  2.3424
  6 -4181.8 26.10   186.00  2.2695
  6 -4181.8 26.10   186.00  2.2695
  6 -4182.7 27.80   527.00  2.7218
  6 -4182.7 27.80   527.00  2.7218
  6 -4183.7 26.90   561.00  2.7490
  6 -4183.7 26.90   561.00  2.7490
  6 -4184.7  8.60      .02 -1.6988
  6 -4184.7  8.60      .02 -1.6988
  6 -4185.7 25.30   141.00  2.1492
  6 -4185.7 25.30   141.00  2.1492
  6 -4186.7 22.10    53.00  1.7243
  6 -4186.7 22.10    53.00  1.7243
  6 -4187.7 11.60      .07 -1.1548
  6 -4187.7 11.60      .07 -1.1548
  6 -4189.7 18.90    32.00  1.5052
  6 -4189.7 18.90    32.00  1.5052
  6 -4190.7 30.20   496.00  2.6955
  6 -4190.7 30.20   496.00  2.6955
  6 -4191.7 29.70   370.00  2.5682
  6 -4192.7 18.10    43.00  1.6335
  6 -4193.7 13.10      .77  -.1135
  6 -4194.7 21.00    76.00  1.8808
  6 -4195.7 24.40   220.00  2.3424
  6 -4196.7 29.30   499.00  2.6981
  6 -4197.7 28.50   640.00  2.8062
  6 -4198.7 28.40   581.00  2.7642
  6 -4199.7 24.80   380.00  2.5798
  6 -4200.7 20.70    53.00  1.7243
  6 -4201.7 23.30   155.00  2.1903
  6 -4202.7 23.10   249.00  2.3962
  6 -4203.7 28.70   494.00  2.6937
  6 -4204.7 28.60   502.00  2.7007
  6 -4206.7 20.30    76.00  1.8808
  6 -4207.7 28.00   412.00  2.6149
  6 -4208.7 31.70   947.00  2.9764
  6 -4209.7 30.90   629.00  2.7987
  6 -4210.7 20.30    37.00  1.5682
  6 -4211.7 30.10   482.00  2.6830
  6 -4212.7 30.50   622.00  2.7938
  6 -4213.7 28.10   532.00  2.7259
  6 -4214.7 29.60   488.00  2.6884
  6 -4215.7 27.70   462.00  2.6646
  6 -4216.7 28.40   357.00  2.5527
  6 -4217.7 28.60   622.00  2.7938
  6 -4218.7 28.30   486.00  2.6866
  6 -4219.7 28.80   511.00  2.7084
  6 -4220.7 29.10   468.00  2.6702
  6 -4221.7 26.50   144.00  2.1584
  6 -4222.6 26.20   383.00  2.5832
  6 -4224.6  8.70      .05 -1.3009
  6 -4225.6 14.50      .69  -.1611
  6 -4229.6 13.40      .40  -.3979
  6 -4230.6 20.90    35.00  1.5441
  6 -4231.6 22.70   412.00  2.6149
  6 -4232.6 24.50   285.00  2.4548
  6 -4233.6 20.60    43.00  1.6335
  6 -4235.6 27.00  1100.00  3.0414
  6 -4236.6 28.60  1420.00  3.1523
  6 -4237.6 28.80  2220.00  3.3464
  6 -4240.6 24.00   585.00  2.7672
  6 -4241.6 25.70   688.00  2.8376
  6 -4242.6 28.50  2850.00  3.4548
  6 -4243.6 27.00  1300.00  3.1139
  6 -4244.6 29.20  3850.00  3.5855
  6 -4245.6 27.20  1790.00  3.2529
  6 -4246.6 27.00  2910.00  3.4639
  6 -4247.6 27.60  4140.00  3.6170
  6 -4248.6 28.10  1280.00  3.1072
  6 -4412.3 19.70    16.00  1.2041
  6 -4413.3 29.60  3710.00  3.5694
  6 -4414.3 27.90  4820.00  3.6830
  6 -4415.3 28.00  3820.00  3.5821
  6 -4416.3 28.70  2800.00  3.4472
  6 -4417.3 24.90  1050.00  3.0212
  6 -4418.3 28.50  1980.00  3.2967
  6 -4419.3 29.40  2670.00  3.4265
  6 -4420.3 25.40  1690.00  3.2279
  6 -4424.3 27.10  5790.00  3.7627
  6 -4429.3 28.00  5920.00  3.7723
  6 -4431.3 29.40  9590.00  3.9818
  6 -4432.3 28.60  8880.00  3.9484
  6 -4438.3 30.60  8320.00  3.9201
  6 -4439.3 30.80  9680.00  3.9859
  6 -4441.3 30.30  8830.00  3.9460
  6 -4442.3 28.80  7330.00  3.8651
  6 -4443.3 28.40  7940.00  3.8998
  6 -4444.3 28.60  6250.00  3.7959
  6 -4445.3 28.20  8960.00  3.9523
  6 -4446.3 28.80  8020.00  3.9042
  6 -4450.3 27.50  7830.00  3.8938
  6 -4453.3 29.50  5650.00  3.7520
  6 -4458.2 33.70  7240.00  3.8597
  6 -4459.2 26.70  4420.00  3.6454
